Tabela síntese - Scopus,,,,,,,,,,,,
(a) n. do estudo,"Citação (Autor et al., Ano)",Título do Artigo (conforme Lista de origem),QP1 - Como a literatura sobre Interação Humano-Dados (IHD) evoluiu em conceito e prática na última década (2014-2024)?,QP2 - Quais são as principais diferenças entre as abordagens teóricas e as implementações práticas relatadas na literatura nos últimos dez anos (2014-2024)?,QP3 - Quais lacunas na pesquisa atual são recorrentemente citadas nos estudos?,"QP4 - Antes da abordagem de IHD, havia alguma abordagem para facilitar o entendimento sobre a gestão de dados em aplicações?",QP5 - Qual é a importância de aplicação da IHD no contexto de Smart City?,,"QPS1 - Quais métodos de avaliação (ex: testes de usabilidade, eye-tracking) são usados para medir a eficácia da IHD?",QPS2 - Quais elementos de sistemas IHD ajudam usuários inexperientes digitalmente a entender melhor os dados?,QPS3 - Os estudos de caso testaram algum framework utilizando IHD?,QPS4 - De que forma fatores etnicos-culturais podem influenciar na forma de aplicação da IHD?
55,"Royle & Hawkins, 2023","Royle K., Hawkins G. Primary School Reading Diaries, Digital Enclosure and the Common Good: Exploring an Alternative Postdigital Commons Bas","Evolui do combate à vigilância individual para respostas comunitárias perante o Enclausuramento Digital corporativo, propondo o cooperativismo de dados em infraestruturas inteligentes.","O modelo sociológico idealiza que infraestruturas escolares conectadas servirão à integração comunitária. A prática evidencia o triunfo de ""silos"" proprietários de empresas de tecnologia, que capturam e monetizam unilateralmente a comunicação relacional diária entre professores, pais e alunos.","Carência de iniciativas tecnológicas governamentais que estruturem bens comuns digitais (digital commons) em vez de recorrerem a plataformas proprietárias e terceirizadas, mitigando assim a extração financeira de dados escolares.","A infraestrutura comunicacional nas escolas funcionava sob uma aura de otimismo tecnocrático cego, encarando a terceirização de e-mails e plataformas de alunos como modernização inofensiva, sem debate sobre cooperativismo de informação.","Fomenta a solidez económica municipal rejeitando que gigantes do software alienem escolas da rede cívica em plataformas ""proprietárias"", incentivando como resistência à datificação o nascimento de ativos de informação geridos cooperativamente pelas comunidades.",,Análise crítica e teórica fundamentada na economia política dos dados e na avaliação de plataformas de leitura digital.,"Institui as cooperativas de dados educacionais como elemento blindador de interface, atuando como um mediador de legibilidade que traduz, simplifica e negocia os maciços termos de uso corporativos para o agrupamento parental.","Fundamenta-se no framework de IHD (Mortier et al., 2014) e no conceito de Enclausuramento Digital, aplicando-os ao contexto educativo pós-digital.","Discute o impacto do Enclausuramento Digital e como a falta de acesso a ferramentas de ensino pode aprofundar desigualdades culturais e sociais de classe, defendendo o tratamento dos dados locais como bens comuns da comunidade."
56,"Payne et al., 2023","Payne A.L., Compton M., Kennedy S. Supporting And Humanising Behavioural Change without the Behaviourism: Digital Footprints, Learning Analy","Substitui o monitoramento pedagógico oculto pelo uso aberto de analíticas de aprendizagem (Learning Analytics), transformando os registos em ferramentas promotoras de autoconhecimento discente.","O ideal teórico das plataformas de Analítica de Aprendizagem (Learning Analytics) é promover o autoconhecimento discente. A prática revela interfaces autoritárias com viés behaviorista, que usam os dados de desempenho para induzir nudges algorítmicos e ""treinar"" alunos sem cultivar a verdadeira Agência do Usuário.","Falta de transparência na engenharia de lembretes e nudges algorítmicos dentro das analíticas de aprendizagem institucionais, falhando em criar interfaces onde o estudante possa rejeitar esse condicionamento pedagógico invisível.","As interfaces de aprendizagem estavam presas num paradigma behaviorista e paternalista: os sistemas aplicavam testes e forçavam respostas baseadas em árvores de decisão opacas, operando sem a anuência informacional ativa do aluno.","Funciona como treino da autonomia na futura metrópole: ensina precocemente os estudantes a descodificarem o software behaviorista, promovendo o raciocínio independente indispensável para anular a eficácia da engenharia invisível de comportamento algorítmico urbano.",,"Análise teórica e pedagógica crítica, avaliando frameworks de Learning Analytics sob a ótica dos princípios de IHD.","Exige que os nudges algorítmicos forneçam feedback rastreável e acionável: a interface deve explicar visualmente não apenas ""o que"" o dado diz, mas ""por que"" aquela sugestão formativa foi feita, desenvolvendo a Autonomia do Usuário.","Fundamenta-se no framework de Interação Humano-Dados (IHD), relacionando-o com teorias de Aprendizagem Autorregulada.",Discute as dinâmicas de poder no ambiente escolar digital. Ressalta que a extração de dados predatória reproduz lógicas de colonialismo e de controle cultural autoritário sobre o estudante.
58,"Victorelli & dos Reis, 2023","Victorelli E.Z., dos Reis J.C. Evaluating User Experience in Information Visualization Systems: UXIV an Evaluation Questionnaire (2023) Lect",Transita de avaliações globais de estética e UX para a formulação de métricas exatas e padronizadas que atestam a legibilidade de visualizações complexas.,"Teoricamente, a fluidez estética (UX) das visualizações de dados deveria bastar para a compreensão. Na prática metodológica, os testes de usabilidade genéricos falham totalmente em captar os pilares da IHD, sendo necessário operacionalizar sentenças empíricas estritas focadas no domínio do raciocínio e da legibilidade.","Ausência metodológica de instrumentos de pesquisa (escalas de UX e sentenças avaliativas) que contemplem adequadamente o peso semântico, o contexto dos dados e a arquitetura de informação em visualizações complexas de IHD.","O diagnóstico de sistemas era conduzido através de questionários universais de ergonomia e afeto (como o modelo AttrakDiff), os quais ignoravam totalmente as variáveis de peso informacional, contexto semântico e carga analítica dos dados.","Estrutural à prosperidade na ""cidade movida a métricas"", desenhando arquiteturas gráficas perfeitamente testadas contra vieses interpretativos para que qualquer leigo deduza com exatidão a qualidade ambiental do bairro ou do tráfego.",,"Análise temática de lacunas, seguida de brainstorming e revisão por pares com designers experientes para consolidar 28 sentenças de avaliação.","Emprega formulários avaliativos de UX compostos por sentenças reflexivas redigidas ativamente na primeira pessoa (""Eu entendi facilmente como ler...""), induzindo indivíduos inexperientes a avaliarem objetivamente a própria compreensão visual.","Combina o questionário meCUE com o framework de IHD (Mortier et al., 2014) e diretrizes de design para sistemas de visualização.","Conduzido no contexto acadêmico brasileiro (UNICAMP), focando em como estudantes locais interpretam relatórios estatísticos globais (índices de felicidade) e os aplicam às suas expectativas culturais de vida e migração."
60,"Nelson, 2023",Nelson J.K. Cartography \& geovisual analytics in personal contexts: designing for the data creator (2023) International Journal of Cartogra,"Expande o mapeamento urbano (antes exclusivo de topógrafos) para a dimensão das trajetórias privadas, desenvolvendo geovisualizações afetivas que tornam a cidade legível para o residente.","A teoria filosófica de IHD defende o ""retorno de valor"" imediato a quem gerou o rastreamento. Na prática, o ecossistema urbano de geodados consolida uma assimetria severa: a população gera a matéria-prima locacional gratuitamente, mas o monopólio e o lucro da síntese analítica permanecem restritos às grandes plataformas.","Lacuna profunda em diretrizes de design que transcendam a precisão topográfica técnica, falhando na exploração das características puramente afetivas, mnemônicas e sentimentais inerentes às geovisualizações pessoais de roteiros urbanos.","As ferramentas de análise espacial limitavam-se a propósitos estritamente geológicos ou logísticos, sem mecanismos de personalização que permitissem aos habitantes incutir memória emotiva nas camadas digitais da cartografia urbana.","Humaniza rigorosamente a perspetiva tecnocrática e cartesiana de planeamento urbano, empoderando os habitantes locais a moldarem ativamente os trilhos municipais pela submissão descentralizada de métricas de afeto, segurança e localização na rede de percursos agregados.",,"Revisão de estudos que utilizaram sondas tecnológicas (technology probes), estudos qualitativos, estudos de diário com usuários leigos e avaliações iterativas em exposições.","Incorpora artefatos visuais orgânicos (fotografias comunitárias, anotações de texto, vídeos) à interface das geovisualizações, enxertando narrativas afetivas para gerar imediata identificação pessoal e significado nas rotas urbanas.","Baseia-se no framework de IHD (Mortier et al., 2014) e na taxonomia de dimensões de design para PV&PVA.","Discute divisões digitais baseadas no território (o bairro ou CEP), evidenciando que a distribuição desigual de conhecimento cria um fosso entre comunidades ricas em dados (empoderadas) e comunidades segregadas e mapeadas passivamente."
62,"Stead et al., 2022","Stead M., Coulton P., Pilling F., Gradinar A., Pilling M., Forrester I. More-than-Human-Data Interaction (2022) ACM International Conference","Evolui de um design centrado apenas na privacidade de ecrã para uma visão ecocêntrica (""Mais-que-Humana""), materializando e denunciando a pegada de carbono da infraestrutura global de servidores.",O marketing corporativo e a teoria de software pintam o processamento em nuvem como uma entidade etérea e imaterial. A IHD prática subverte essa mentira ao quantificar o peso material dos fluxos: a computação global é uma indústria de extração intensiva responsável por uma pegada de carbono massiva invisível nas telas do cidadão.,"Cegueira ecológica na IHD: ausência de mecanismos interativos focados em revelar o impacto ambiental (""pegada de carbono invisível"") imposto pelas pesadas redes de infraestrutura em nuvem e machine learning globais.","O marketing tecnológico e o design arquitetónico das interfaces impulsionavam a mentira do sistema 'plug-and-play' etéreo, escondendo ativamente do utilizador o custo material e ecológico gerado pelas operações no servidor remoto.",Exige a denúncia pública perante a utopia urbana do processamento artificial milagroso: subverte a cegueira técnica expondo ao cidadão o altíssimo preço energético consumido ininterruptamente pelas baterias e polos de dados do modelo metropolitano baseado em nuvem.,,"Pesquisa de design especulativo unindo IHD com Design Mais-que-Humano, usando ficção de design e jogos especulativos avaliados através de workshops e análise temática.","Usa recursos como o Design Especulativo, narrativas interativas (diegéticas) e assistentes de voz personificados (como a ""gAla"") para dar forma compreensível e lúdica à emissão maciça de carbono invisível das redes computacionais.","Baseia-se na Interação Humano-Dados (IHD) (Mortier et al., 2014), Design Centrado no Mais-que-Humano (MtHCD) e na Ontologia Orientada a Objetos (OOO).",Foca no contexto doméstico britânico e discute as metas de descarbonização ecológica em face da cultura de hiperconsumo invisível impulsionada pelas facilidades algorítmicas ocidentais.
63,"Brombacher et al., 2022","Brombacher H., Houben S., Vos S. SensorBadge: An Exploratory Study of an Ego-centric Wearable Sensor System for Healthy Office Environments","Transita de sensores embutidos no edifício para biometria vestível, devolvendo a Agência do Usuário ao trabalhador sobre a colheita dos seus dados fisiológicos e laborais.","A teoria de monitoramento laboral garante que sensores vestíveis extraem métricas imaculadas do ambiente de trabalho. Na implementação prática, fricções ergonômicas mundanas — como o tecido da roupa ou um sensor virado para a mesa — corrompem e distorcem profundamente os perfis ambientais reais.","Falha grave na legibilidade semântica de sensores ambientais instalados in loco, pois relatam apenas dados eletrônicos crus (níveis de lux, percentagens), carecendo de arquiteturas de alerta que suportem decisões orgânicas imediatas sem análise técnica.","O controlo de eficiência climática predial repousava na instalação de detetores rígidos nos edifícios. A ocupação humana não possuía interação sistémica, sendo o residente tratado apenas como um emissor passivo de calor ou movimento.","Viabiliza a preservação sadia do regime laboral pandêmico híbrido moderno, estabelecendo um cordão de monitoramento biométrico e ergonômico individual que opera localmente sob controle exclusivo do trabalhador em residências ou deslocamentos viários.",,Abordagem de métodos mistos: qualitativa (entrevistas semiestruturadas e análise temática) e quantitativa (coleta de dados de sensores e Amostragem de Experiência/Experience Sampling).,"Substitui representações técnicas em lux ou volumetria bruta por classificações semânticas e de ação (ex: ""está muito quente agora""), utilizando opções de Fisicalização de Dados ambiental para tangibilizar o monitoramento para o trabalhador leigo.","Baseia-se no framework de Interação Humano-Dados (IHD) (Mortier et al., 2014) e segue requisitos de design para artefatos tipo badge.",Discute como a visibilidade de biosensores no próprio corpo gera conversas e reações corporativas que são pautadas pelas normas sociais tácitas e pelas culturas laborais específicas de cada escritório.
65,"Bowyer et al., 2022","Bowyer A., Holt J., Go Jefferies J., Wilson R., Kirk D., David Smeddinck J. Human-GDPR Interaction: Practical Experiences of Accessing Perso","Evidencia que a lei isolada é insuficiente perante os maus designs atuais, mudando o foco da exigência de direitos estáticos para a necessidade urgente de interfaces de ""Takeout"" legíveis.","A teoria jurídica de portabilidade imposta pelo RGPD decreta a soberania do dado pelo titular. A realidade industrial é o cumprimento malicioso da lei: gigantes da tecnologia oferecem despejos de arquivos JSON/CSV crus, sem curadoria ou visualização legível, sabotando ativamente a autonomia prática do utente leigo.","Lacuna crônica na transição de dados legais para dados acionáveis, devido à ausência de plataformas abertas que ingiram descargas ilegíveis de dados exportados (takeout via RGPD) e as renderizem num formato que restaure a soberania cívica.","O domínio institucional limitava-se à formulação e fiscalização de conformidade jurídica de acesso (direitos fundamentais teóricos), tolerando sistemas de recuperação e devolução técnica ininteligíveis que tornavam a lei inócua.","Restabelece a verdadeira aplicabilidade legal do indivíduo perante colossos empresariais de monitoramento, arquitetando exportações fáceis da biografia cibernética residente que blindem as infraestruturas domésticas urbanas contra criações sub-reptícias de perfil mercantil.",,"Estudo qualitativo com 10 participantes, incluindo solicitações reais de acesso a dados, entrevistas semiestruturadas e sessões de análise conjunta dos dados exportados.","Otimiza interfaces de resgate digital (Takeout) para ""humanizarem"" e curarem visualmente as matrizes e arquivos JSON brutos, transcrevendo a finalidade de cada rastreamento na plataforma para o vocabulário prático do usuário final.",Baseia-se na IHD (Human-Data Interaction) e na análise crítica do RGPD (GDPR) sob a ótica de fatores humanos.,Destaca como a transparência afeta a confiança do consumidor civil e como corporações respondem de formas enviesadas dependendo do aperto das leis locais (GDPR) e da cultura de conformidade institucional.
67,"Hayes et al., 2021","Hayes S., Connor S., Johnson M., Jopling M. Connecting Cross-sector Community Voices: Data, Disadvantage, and Postdigital Inclusion (2021) P","Transita de implementações governamentais de cúpula (top-down) para o empoderamento de base (bottom-up), mitigando a exclusão de dados em zonas regionais através de competências cívicas.","A matriz teórica da IHD ambiciona ser inerentemente emancipatória e interdisciplinar. Na prática investigativa real, o quadro ainda se encontra sequestrado pelas raízes da Ciência da Computação ocidental, requerendo estratégias bottom-up e educação não-formal para impactar realmente regiões cívicas digitalmente desfavorecidas.","O foco institucional exclusivo na provisão de equipamentos de hardware para regiões desfavorecidas mascara a lacuna teórica na mitigação comunitária, esquecendo a necessidade de fortalecer a Literacia de Dados contra assimetrias de poder estruturais.","O enquadramento macroeconómico em políticas públicas reduzia o conceito de desvantagem tecnológica apenas à aquisição física de eletrónicos, falhando em antecipar que a capacidade de controlo de fluxos é a verdadeira métrica de poder.","Ocupa o vazio negligenciado da modernidade: mergulha na confusão técnica das populações periféricas urbanas, lutando contra o estrangulamento informacional de cidadãos descapitalizados pelas arquiteturas digitais sombrias instaladas para a sua própria gestão pública.",,Análise sociológica crítica baseada na teoria da informação e em roteiros digitais de exclusão regional. (O método direto de avaliação de interface não se aplica).,"Promove o acoplamento de trilhas de letramento e negociabilidade aos programas técnicos regionais de desenvolvimento de força de trabalho, focando a interface como um treinamento tático contínuo para o trabalhador pré-digital conquistar sua Autonomia do Usuário.",Baseia-se no framework de Interação Humano-Dados (IHD) de Mortier et al. (2014).,"Focado no Reino Unido, abordando diretamente como a desvantagem regional (geográfica e cultural) e a infoexclusão afetam estruturalmente a capacidade de ascensão de grupos minoritários vulneráveis."
70,"Konomi, 2022","Konomi S. Big data for humans or humans for big data?: a human-data interaction perspective. (2022) CEUR Workshop Proceedings, 3136, pp. 14","Evolui da sobrecarga informativa (dashboard fatigue) para o design de tecnologias calmas (""Big Data para humanos""), integrando a monitorização ambiental de forma silenciosa e legível no dia a dia.","O dogma das Cidades Inteligentes dita que injetar Big Data em dashboards governamentais otimiza a gestão ambiental. Na prática, interfaces agregadoras opressivas esmagam cognitivamente os administradores, forçando um retorno ao design de ""tecnologia calma"" para devolver significância e ritmo humano à leitura dos indicadores.","Carência de arquiteturas enquadradas no conceito de ""tecnologia calma"" capazes de sintetizar petabytes de dados climáticos e ambientais de fundo, sem causar sobrecarga cognitiva (dashboard fatigue) aos administradores municipais.",A lógica diretiva concentrava-se no dogma da computação massiva: produzir o máximo de painéis sintéticos agregadores (dashboards) sem considerar os gargalos de atenção neurobiológica e o aumento pernicioso da ansiedade cognitiva gerencial.,"Essencial para mitigar a catástrofe neurológica induzida nas forças operacionais de cidades baseadas em Big Data: instaura mecanismos e sinalizadores de gestão ambiental focados em ""tecnologia calma"" que resgatam o gestor urbano da asfixiante sobrecarga de painéis luminosos agressivos.",,"Revisão e síntese de resultados de projetos de pesquisa experimental, incluindo estudos de comportamento em e-books e crowdsensing móvel.","Emprega algoritmos de recomendação baseados em ""tecnologia calma"", atuando como funis de legibilidade silenciosos que depuram proativamente os painéis de informação antes que eles sobrecarreguem cognitivamente o cidadão inexperiente.",Fundamenta-se no framework de Interação Humano-Dados (IHD) e no conceito de Tecnologia Calma (Weiser).,"Explora o uso em comunidades locais, discutindo como o design de ""tecnologia calma"" pode servir a grupos culturais urbanos específicos caso seja adaptado para respeitar os limiares de atenção regionais."
72,"Pilling et al., 2022","Pilling M., Coulton P., Lodge T., Crabtree A., Chamberlain A. Experiencing mundane AI futures (2022) Proceedings of DRS.","Transita do estudo reativo de falhas de privacidade para a ficção especulativa ativa, mapeando preventivamente modelos extrativos antes que se tornem perigos invisíveis urbanos.","Os quadros teóricos reativos tentam remediar as violações de privacidade apenas depois do lançamento das ferramentas. Na prática de vanguarda da IHD, a Design Especulativo (Design Fiction) passa a ser usada preventivamente para prototipar artefatos de IA antes que a sua opacidade sistêmica se torne rotina incontestável na vida urbana.","Lacuna no mapeamento proativo e em tempo real sobre infraestruturas de IA, já que o modelo machine learning vigente encarcera processos e automatiza exclusões, esmagando a Agência do Usuário sob o verniz da eficiência corporativa.","O avanço de algoritmos era ditado puramente pela eficiência preditiva cega. Avaliações éticas de risco resumiam-se a mitigações punitivas pós-implantação, não existindo debates ficcionais proativos que desafiassem a automação corporativa.","Garante a preservação da intencionalidade do ser humano moderno frente à contaminação predatória por Inteligência Artificial sistêmica, lutando ativamente para não sucumbir as instâncias morais decisórias de habitação metropolitana e do lar aos algoritmos extrativistas opacos de conveniência ininterrupta.",,Ficção de Design e Protótipos Diegéticos como ferramentas de avaliação qualitativa para explorar a reação dos usuários a cenários especulativos.,"Adota artefatos de Design Especulativo ancorados em metáforas imagéticas de objetos e maquinários familiares, exibindo as ""engrenagens"" do processamento de forma lúdica para mitigar a opacidade de sistemas baseados em Inteligência Artificial.",Combina a IHD (Mortier et al.) com métodos de Design Especulativo.,"Discute os riscos socioculturais profundos da aceitação passiva de modelos extrativistas, onde a IA oculta os seus vieses em interfaces bonitas, ignorando as nuances e as diversidades do indivíduo."
73,"Corazza et al., 2022","Corazza L., Antonini A., Dumay J., Cisi M. Sustainability Reporting and Interactive Storytelling: A Genre Approach for Humanising Business (","Evolui dos densos relatórios corporativos contábeis de sustentabilidade em direção ao Storytelling Interativo, facilitando a prestação de contas através da imaginação moral e do diálogo social.","A teoria contábil estipula que relatórios de sustentabilidade de megacorporações oferecem clareza e transparência às comunidades. A prática prova que tais documentos operam sob severo ""reducionismo numérico"" e greenwashing, requerendo soluções de Storytelling Interativo para desarmar as métricas financeiras e resgatar a imaginação moral.","Viés contábil estrutural nas diretrizes internacionais de sustentabilidade, resultando numa lacuna comunicacional severa que aliena os cidadãos de escrutinarem relatórios empresariais, necessitando de táticas humanizadoras de Storytelling Interativo.",A contabilidade de sustentabilidade corporativa cristalizou-se no fornecimento hermético de PDFs burocráticos repletos de tabelas numéricas unidimensionais redigidas unicamente para aplacar auditores e reguladores do mercado.,"Desmantela a arrogância da contabilização ambiental das corporações no espaço territorial urbano, trocando as indecifráveis malhas de numeração ambiental técnica por painéis de Storytelling Interativo que comprovam inequivocamente ao pedestre os danos físicos vizinhos como fumaça e poluição material.",,Abordagem qualitativa e teórica baseada na análise de gêneros literários para realizar escrutínio crítico dos modelos atuais e propor modelo conceitual.,"Prescreve a substituição das pesadas planilhas contábeis de carbono pelo Storytelling Interativo, forjando caminhos exploratórios pautados na ""imaginação moral"" e metáforas narrativas para democratizar instantaneamente as denúncias de falso engajamento ecológico (greenwashing).",Integra o framework de Interação Humano-Dados (IHD) com a Teoria dos Gêneros e o design de Narrativas Digitais Interativas. O objetivo é evoluir para o Storytelling Interativo.,Aborda o fator social do Storytelling Interativo para promover a transparência perante a sociedade civil local. Discute como a IHD deve focar em reduzir a distância linguística e técnica entre grandes corporações poluidoras e comunidades sub-representadas etnicamente.
